country,points,price
US,87,18
Portugal,87,30
Italy,87,39
Italy,87,35
Argentina,87,30
France,87,23
US,87,18
,87,30
Argentina,87,20
US,87,25
US,87,20
Italy,87,50
Italy,87,50
Argentina,87,15
Australia,87,
Portugal,87,9
Argentina,87,12
Portugal,87,14
Australia,87,18
US,87,20
Argentina,87,175
Portugal,87,12
Italy,87,60
US,87,20
Argentina,87,15
Italy,87,35
France,87,14
France,87,16
France,87,15
France,87,14
US,87,40
US,87,29
Spain,87,15
US,87,55
France,87,38
Spain,87,15
US,87,34
Spain,87,18
US,87,27
US,87,17
US,87,65
Portugal,87,13
Portugal,87,15
Italy,87,23
US,87,40
US,87,32
Spain,87,16
US,87,38
US,87,15
Italy,87,50
Italy,87,30
US,87,24
Spain,87,18
France,87,40
France,87,18
France,87,20
France,85,40
France,85,11
Italy,85,17
Italy,85,48
New Zealand,85,9
Chile,85,10
Italy,85,
Chile,85,9
US,85,19
France,85,15
US,85,23
US,85,35
US,85,30
Italy,85,12
US,85,17
US,85,16
US,85,15
France,85,10
Italy,85,41
France,85,10
Italy,85,16
US,85,25
Romania,85,12
Argentina,88,20
Portugal,88,
Australia,88,25
US,88,20
Spain,88,53
US,88,12
France,88,
France,88,14
France,88,12
France,88,22
Italy,88,26
Italy,88,14
Australia,88,18
US,88,18
US,88,17
US,88,24
Italy,88,41
US,88,60
France,88,26
France,88,25
France,88,16
US,88,40
France,88,21
Australia,88,14
Chile,88,18
US,88,75
US,88,16
Italy,88,
Italy,88,45
US,88,42
US,88,48
Italy,88,22
Italy,88,22
France,88,20
US,88,125
US,88,14
Argentina,88,20
Italy,88,27
Israel,88,25
France,88,28
US,88,42
US,88,13
US,88,34
Spain,88,19
Spain,88,18
US,88,60
Spain,88,28
New Zealand,88,16
US,88,22
France,88,10
Italy,88,12
Italy,88,28
US,88,28
New Zealand,87,20
Spain,87,15
Argentina,87,15
New Zealand,87,70
Spain,85,15
Austria,85,20
Italy,85,17
US,85,24
Italy,85,28
US,85,16
France,85,12
France,85,12
US,85,10
Spain,85,25
US,85,12
Spain,85,30
Italy,85,19
Austria,85,24
Austria,85,10
Chile,85,11
US,85,16
Italy,85,
France,85,11
France,85,25
Italy,85,
South Africa,85,20
Italy,85,
Portugal,94,50
US,94,38
US,94,34
US,94,100
US,94,95
US,94,62
Italy,94,57
Portugal,94,150
Portugal,94,78
Australia,94,100
US,94,52
France,94,112
Italy,94,180
US,94,35
US,94,85
US,94,32
US,94,32
US,94,120
US,94,85
France,94,120
US,94,38
US,94,32
US,94,58
US,94,85
US,94,80
Portugal,94,60
US,94,75
US,94,50
France,94,60
US,94,60
US,90,28
Chile,90,25
US,90,15
US,90,19
US,90,40
Chile,90,35
Austria,90,
US,90,45
US,90,13
France,90,15
Italy,90,22
US,90,35
US,90,20
US,90,38
Italy,90,70
Spain,90,60
Spain,90,25
France,90,17
US,90,15
Italy,90,38
Spain,90,27
US,90,10
US,90,56
Italy,90,18
France,90,32
France,90,24
France,90,
US,84,16
US,84,40
US,84,20
US,84,38
France,84,20
France,84,18
France,84,
Chile,84,13
US,84,65
New Zealand,84,16
France,84,14
France,84,20
France,84,15
Chile,84,11
US,84,27
Italy,84,11
Italy,84,10
US,84,100
US,84,25
Chile,84,18
US,84,13
US,84,28
US,83,11
France,83,12
Italy,83,
US,83,17
Italy,83,14
France,83,30
Chile,83,11
US,83,45
US,87,24
Austria,87,15
Australia,87,19
Greece,87,15
Austria,87,23
US,87,60
Austria,87,16
Austria,87,21
Greece,87,13
Italy,86,17
Italy,86,15
Italy,86,20
Italy,86,19
US,86,23
US,86,18
Italy,86,13
US,86,26
Italy,86,13
Argentina,86,17
Germany,86,20
US,86,48
US,86,40
Argentina,86,12
Austria,86,12
Italy,86,18
Portugal,88,14
Argentina,88,19
France,88,10
US,88,26
Italy,88,50
Australia,88,13
Italy,88,49
Italy,88,50
Portugal,88,19
France,88,14
Turkey,88,20
France,88,28
France,88,70
US,88,13
France,88,40
France,88,10
Argentina,88,16
Argentina,87,40
Argentina,87,20
US,87,35
Italy,87,90
Australia,87,25
Australia,87,13
Germany,87,10
France,87,32
US,87,26
US,87,14
Portugal,87,10
Italy,87,75
US,87,35
Italy,93,80
Portugal,93,55
US,93,24
US,93,52
US,93,115
US,93,60
US,93,40
US,93,55
Portugal,93,28
US,93,60
Italy,93,33
Italy,93,57
US,93,75
France,93,40
US,93,58
US,93,55
US,93,65
Portugal,93,75
US,93,38
US,93,49
US,93,32
US,93,55
Portugal,93,32
US,93,65
US,93,40
US,92,50
US,92,42
US,92,60
US,92,48
US,92,36
Italy,88,16
France,88,9
Italy,88,35
France,88,40
US,88,13
South Africa,88,17
Germany,88,20
US,88,50
South Africa,88,35
US,88,40
South Africa,88,13
US,88,50
US,88,20
Italy,88,
Germany,88,22
Germany,88,12
US,88,7
US,88,10
South Africa,88,15
US,88,40
Spain,88,21
Italy,88,90
Spain,85,7
Italy,85,22
Italy,85,
US,85,20
US,85,13
US,85,35
Israel,85,12
US,85,16
US,85,20
Italy,85,12
Spain,85,30
US,85,34
US,85,26
Italy,84,
US,84,15
Italy,84,28
US,84,10
US,84,70
US,84,24
Italy,84,10
Portugal,84,
Spain,84,8
Spain,84,27
US,84,10
Italy,84,10
France,84,
New Zealand,84,17
Italy,89,20
US,89,35
Italy,89,19
Germany,89,13
Italy,89,48
Italy,89,26
Italy,89,13
US,89,75
Spain,89,30
US,89,25
France,89,14
Italy,89,20
US,89,36
Italy,89,49
US,89,35
France,89,20
France,89,21
Germany,89,28
Germany,89,20
Spain,89,18
Spain,89,20
US,89,40
Portugal,89,13
US,89,45
US,89,40
US,89,32
Italy,89,15
US,89,34
Italy,89,40
Italy,89,20
Italy,90,20
US,90,42
US,90,98
New Zealand,90,25
Austria,90,18
Spain,90,25
Austria,90,15
Spain,90,36
US,90,35
US,90,56
Spain,90,33
New Zealand,90,25
US,90,38
France,90,28
France,90,22
France,90,13
France,90,
US,90,38
US,90,22
US,90,18
US,90,42
Italy,90,25
France,90,21
France,90,23
France,90,30
Austria,90,20
US,90,39
US,90,38
Italy,90,18
US,90,22
Argentina,86,11
Italy,86,29
US,86,10
Italy,86,35
Italy,86,19
France,86,
France,86,
France,86,14
US,86,30
US,86,35
France,86,75
Spain,86,47
Spain,86,10
US,86,17
US,86,23
Italy,86,9
US,86,27
Italy,86,18
France,86,
France,87,15
Chile,87,9
France,87,40
US,87,20
Italy,86,
US,86,13
US,86,28
Italy,86,10
US,86,20
US,86,24
France,86,15
US,86,18
Portugal,86,11
US,86,18
France,86,24
US,86,12
US,86,18
Chile,86,20
US,86,15
Italy,88,25
Germany,88,14
US,88,36
Italy,88,27
US,88,42
South Africa,88,16
South Africa,88,
Italy,88,20
US,88,48
US,88,
Argentina,88,19
US,88,40
US,88,50
Portugal,88,21
Germany,88,16
Italy,88,19
Portugal,88,11
US,88,25
Italy,88,23
Italy,88,30
Italy,88,28
US,88,22
US,88,15
Italy,88,20
Italy,88,20
US,88,70
Germany,88,9
Portugal,88,40
Portugal,88,30
US,88,16
France,93,
France,93,31
France,93,30
US,93,38
US,93,45
US,93,50
US,93,24
France,93,
Austria,93,
US,93,86
US,92,55
Austria,92,
France,92,28
France,92,45
US,92,85
US,92,50
US,92,120
US,92,30
France,92,25
France,92,40
South Africa,92,50
US,92,32
US,92,40
France,92,
Austria,92,46
US,92,39
US,92,85
Austria,92,
Austria,92,60
US,94,75
US,94,120
France,94,25
France,94,80
Portugal,94,85
US,94,28
France,94,180
France,94,85
France,94,135
Italy,94,125
France,94,90
Italy,94,154
US,94,70
US,94,150
Germany,94,56
France,94,49
US,94,72
Italy,93,48
US,93,35
Italy,93,70
France,93,132
US,93,38
Portugal,93,20
US,93,175
US,93,36
US,93,60
US,93,110
US,93,100
Italy,93,85
US,93,80
Chile,86,12
Italy,86,18
Italy,86,15
US,86,20
Chile,86,14
Australia,85,12
Chile,85,9
Chile,85,12
US,85,9
Argentina,85,10
France,85,19
New Zealand,85,11
US,85,75
Hungary,85,48
US,85,22
Italy,85,35
Italy,85,12
New Zealand,85,23
Italy,85,15
New Zealand,85,16
Argentina,85,12
US,85,34
US,85,65
Argentina,85,10
Argentina,85,8
Italy,85,16
Chile,85,12
Italy,92,43
US,92,32
US,92,71
Italy,92,65
US,92,60
Austria,92,
France,92,15
France,92,35
France,92,
Chile,92,92
US,92,42
Italy,92,65
France,92,35
Italy,92,43
US,92,54
US,92,75
France,92,16
France,92,35
France,92,26
Chile,92,38
France,92,50
Chile,92,29
Italy,92,42
US,92,48
Chile,92,40
US,92,100
Italy,86,21
Portugal,86,14
Portugal,86,13
US,86,15
Spain,86,15
Spain,86,9
Spain,85,17
US,85,20
France,85,34
France,85,20
France,85,12
France,85,
France,85,15
US,85,11
Spain,85,10
Portugal,85,9
Portugal,85,10
Romania,85,10
Italy,85,14
Spain,85,20
Chile,85,15
Portugal,85,7
Chile,85,8
Chile,85,10
Italy,85,20
Portugal,85,12
Portugal,85,8
Italy,85,18
US,85,28
Portugal,85,9
US,99,125
US,99,94
France,98,1900
France,98,380
US,98,50
Italy,98,102
France,97,170
Italy,97,220
Italy,97,215
US,97,150
France,97,1100
US,97,82
France,96,280
France,96,200
Italy,96,75
France,96,1200
France,96,
France,96,195
US,96,125
France,96,1300
France,96,400
US,96,78
France,96,75
US,95,56
France,95,89
France,95,163
France,95,110
US,95,60
US,95,75
US,88,28
US,88,34
US,88,35
Italy,88,16
France,88,45
France,88,20
US,88,21
France,88,
France,88,30
France,88,
France,88,45
France,88,22
France,88,
US,88,18
France,88,58
US,88,10
US,88,55
US,88,16
Italy,88,25
US,88,25
New Zealand,87,18
US,87,20
US,87,12
US,87,30
Italy,87,14
US,87,24
France,87,19
France,87,
France,87,15
France,87,26
France,85,10
France,85,10
Portugal,85,12
Argentina,85,10
Portugal,85,8
Portugal,85,6
Argentina,85,13
Argentina,85,13
France,85,13
France,85,12
US,85,16
Argentina,85,12
US,85,17
France,85,22
Portugal,85,7
Portugal,85,8
US,85,22
France,85,12
Portugal,85,15
Argentina,85,10
US,85,12
Australia,85,8
US,85,20
France,85,20
Portugal,85,10
Portugal,85,12
US,85,15
Italy,85,40
US,85,11
US,85,10
Spain,85,27
Argentina,85,13
US,85,25
Argentina,85,10
Australia,85,16
Portugal,85,9
Argentina,85,20
US,85,18
Portugal,85,10
Portugal,85,10
Portugal,85,11
France,85,13
France,85,20
France,85,13
US,85,25
US,85,35
US,85,28
Italy,85,10
Portugal,85,13
US,85,10
Argentina,85,12
Australia,85,9
US,85,12
Italy,85,19
France,85,20
France,85,28
US,85,25
US,90,65
US,90,20
France,90,40
France,90,126
Italy,90,
US,90,50
US,90,30
US,90,28
Argentina,90,25
Austria,90,20
Italy,90,
US,90,16
Austria,90,16
Italy,90,
US,90,18
Italy,90,
US,90,115
US,90,35
US,90,20
France,90,63
US,90,18
Austria,90,44
US,90,12
Argentina,90,15
Italy,86,50
Israel,86,16
Italy,86,85
Italy,86,16
Portugal,86,15
Spain,86,12
US,86,14
US,86,10
Israel,86,35
Italy,86,15
Australia,86,14
Australia,86,23
Spain,86,15
Italy,86,65
US,86,25
Spain,85,10
Australia,85,20
Italy,85,29
Portugal,85,20
Israel,85,23
US,85,19
Portugal,85,11
Spain,85,15
US,85,10
Spain,85,10
Spain,85,8
Spain,85,10
Australia,85,30
US,85,22
US,85,18
Spain,92,47
France,92,
US,92,48
US,92,30
US,92,35
US,92,20
Italy,92,90
France,92,135
US,92,40
US,92,40
Italy,92,50
US,92,22
Italy,92,80
US,92,29
Italy,92,75
US,92,56
US,92,45
Italy,92,45
France,92,
France,92,
France,92,
France,92,49
France,92,
US,92,30
France,84,13
Spain,84,12
US,84,10
Spain,84,25
France,84,20
Spain,84,13
US,84,29
France,84,15
France,84,19
Spain,84,10
France,84,12
US,84,25
US,84,37
US,84,20
Spain,84,14
France,84,12
US,84,18
France,84,25
France,84,25
Chile,84,15
France,84,
US,84,9
France,84,13
Chile,84,13
US,84,22
France,84,
France,84,17
France,84,23
France,84,
France,84,15
US,91,33
Italy,91,55
Spain,91,33
France,91,35
France,91,
France,91,26
US,91,20
US,91,45
US,91,50
US,91,40
Argentina,91,24
US,91,60
US,91,29
Italy,91,
US,91,30
US,91,40
US,91,45
Italy,91,
Italy,91,50
France,91,
France,91,29
Portugal,85,10
Portugal,85,20
France,85,19
France,85,
US,85,28
Spain,85,15
France,85,50
US,85,15
Spain,85,11
Spain,85,16
US,85,14
Portugal,85,11
Portugal,85,20
Spain,85,9
Argentina,85,12
Spain,85,15
US,85,25
France,85,
France,85,
France,85,15
Portugal,85,13
Argentina,85,12
France,85,20
France,85,22
US,84,18
France,84,12
Spain,84,23
Spain,84,16
US,84,46
US,84,15
US,84,50
US,84,10
Spain,84,13
US,84,23
Spain,84,25
US,84,19
France,84,23
US,84,47
US,84,60
US,84,42
US,84,13
US,83,16
Spain,83,25
Argentina,83,
Spain,83,20
Spain,83,30
Spain,83,12
Spain,83,9
US,83,38
US,83,25
Argentina,83,13
France,83,21
US,83,25
Spain,83,15
Argentina,83,25
US,83,55
US,83,
US,83,29
Italy,83,30
France,94,180
France,94,74
France,94,
US,94,300
Italy,94,130
Italy,93,120
US,93,30
US,93,36
US,93,85
Italy,93,75
Portugal,93,
France,93,45
France,93,90
US,93,36
France,93,75
Italy,93,80
Italy,93,
Italy,93,
US,93,50
France,93,47
France,93,270
US,93,50
US,93,28
US,93,55
Portugal,93,70
Italy,93,60
Australia,93,50
US,93,48
US,93,22
France,89,23
Australia,89,20
Australia,89,25
Italy,89,21
US,89,46
Australia,89,18
Italy,89,22
US,89,30
Australia,89,12
Spain,89,150
Argentina,89,10
US,89,18
France,89,28
Argentina,89,12
Australia,89,30
Italy,89,24
US,89,55
Spain,89,53
Italy,89,30
Australia,88,14
Australia,88,22
US,88,15
US,87,25
Austria,87,32
US,87,14
US,87,50
Chile,87,30
Chile,87,16
Chile,87,19
France,87,12
France,87,20
France,87,13
US,87,26
Austria,87,17
US,87,32
Chile,87,15
Italy,87,50
US,87,28
France,87,17
Italy,87,25
US,87,11
Australia,87,30
Israel,87,35
Italy,87,80
France,87,18
Australia,87,53
Chile,87,18
US,87,60
Chile,87,30
Chile,87,19
US,87,15
France,87,20
Austria,87,14
US,87,40
US,87,19
France,87,13
US,87,65
US,87,36
US,87,24
US,86,32
Chile,86,10
US,86,15
France,86,15
US,86,24
US,86,32
Chile,86,18
Israel,86,15
US,86,24
France,88,17
US,88,40
US,88,35
Italy,88,30
Italy,88,32
US,88,35
US,88,60
France,88,15
Chile,88,20
US,88,40
Italy,88,20
France,88,10
France,88,35
France,88,20
France,88,18
Italy,88,14
US,88,22
US,88,50
Italy,88,15
France,88,16
Italy,88,15
Italy,88,25
US,88,45
US,88,28
Italy,88,
US,88,22
Italy,88,19
US,88,40
US,88,18
France,88,14
Spain,85,4
Spain,85,13
US,85,16
France,85,25
Argentina,84,15
Argentina,84,20
Argentina,84,11
US,84,18
US,84,20
US,84,25
Italy,84,11
France,84,15
France,84,19
Italy,84,12
Spain,84,10
Argentina,84,10
France,84,8
US,84,19
Portugal,84,20
Portugal,84,11
France,84,23
US,84,15
France,84,19
France,84,24
US,84,15
Argentina,84,12
France,84,15
Spain,84,17
France,84,16
France,84,17
